Data,Ativo,Preco,Tipo_Ordem,Quantidade
2026-01-02,PETR4,30.00,Compra,100
2026-01-03,VALE3,70.00,Compra,100
2026-01-04,ITUB4,25.00,Compra,100
2026-01-05,BBDC4,18.00,Compra,100
2026-01-06,ABEV3,14.00,Compra,100

2026-01-10,PETR4,35.00,Venda,100
2026-01-11,VALE3,65.00,Venda,100
2026-01-12,ITUB4,30.00,Venda,100
2026-01-13,BBDC4,16.00,Venda,100
2026-01-14,ABEV3,16.00,Venda,100

2026-02-01,PETR4,32.00,Compra,50
2026-02-02,VALE3,72.00,Compra,50
2026-02-03,ITUB4,26.00,Compra,50
2026-02-04,BBDC4,17.00,Compra,50
2026-02-05,ABEV3,15.00,Compra,50

2026-02-10,PETR4,36.00,Venda,50
2026-02-11,VALE3,68.00,Venda,50
2026-02-12,ITUB4,31.00,Venda,50
2026-02-13,BBDC4,15.50,Venda,50
2026-02-14,ABEV3,17.00,Venda,50
